dataset,abstraction_method,partition_num,abstract_state_num,epsilon,pca_dim,model_type,hmm_n_comp,grid_history_dependency_num,execution_time,aucroc,p_value,accuracy,f1_score,abnormal_threshold,settings
advglue++,DBSCAN,,,0.0001,64,DTMC,,,23.80921888,0.8005965184,4.11E-207,0.242161441,0.1736178468,0.1052631579,DBSCAN_0_64_DTMC_0_0
advglue++,DBSCAN,,,0.0001,128,DTMC,,,26.64230871,0.8070546702,2.31E-275,0.3237714032,0.1597126278,0.09090909091,DBSCAN_0_128_DTMC_0_0
advglue++,DBSCAN,,,0.0001,256,DTMC,,,49.57250786,0.8016750267,0,0.2661774516,0.1687657431,0.2152777778,DBSCAN_0_256_DTMC_0_0
advglue++,DBSCAN,,,0.0001,512,DTMC,,,66.35140848,0.798909841,0,0.2711807872,0.1676190476,0.25,DBSCAN_0_512_DTMC_0_0
advglue++,DBSCAN,,,0.0001,1024,DTMC,,,131.7718329,0.8015736053,0,0.2645096731,0.1678198516,0.308423913,DBSCAN_0_1024_DTMC_0_0
advglue++,DBSCAN,,,0.0001,2048,DTMC,,,229.336127,0.7985515028,0,0.3304425172,0.1587035485,0.2264957265,DBSCAN_0_2048_DTMC_0_0
advglue++,DBSCAN,,,0.001,4,DTMC,,,12.7284081,0.784918523,9.81E-14,0.1463197687,0.1938261235,0,DBSCAN_0_4_DTMC_0_0
advglue++,DBSCAN,,,0.001,8,DTMC,,,13.1091733,0.7988319953,1.83E-44,0.1889037136,0.1783984683,0,DBSCAN_0_8_DTMC_0_0
advglue++,DBSCAN,,,0.001,16,DTMC,,,21.34159136,0.7965041036,1.96E-123,0.2432732933,0.1762285161,0,DBSCAN_0_16_DTMC_0_0
advglue++,DBSCAN,,,0.001,32,DTMC,,,15.76414299,0.8007420218,4.45E-144,0.2767400489,0.1672001024,0,DBSCAN_0_32_DTMC_0_0
advglue++,DBSCAN,,,0.001,64,DTMC,,,20.26777339,0.8018436814,3.60E-214,0.2432732933,0.1728245017,0.1,DBSCAN_0_64_DTMC_0_0
advglue++,DBSCAN,,,0.001,128,DTMC,,,31.80574274,0.8062231193,2.78E-274,0.247387147,0.1679164106,0.1778656126,DBSCAN_0_128_DTMC_0_0
advglue++,DBSCAN,,,0.001,256,DTMC,,,54.25364041,0.8024301686,0,0.2696241939,0.1685862549,0.2,DBSCAN_0_256_DTMC_0_0
advglue++,DBSCAN,,,0.001,512,DTMC,,,63.78288746,0.7992941712,0,0.27251501,0.1699860459,0.25,DBSCAN_0_512_DTMC_0_0
advglue++,DBSCAN,,,0.001,1024,DTMC,,,128.3304482,0.8017981299,0,0.201912386,0.1749425287,0.3333333333,DBSCAN_0_1024_DTMC_0_0
advglue++,DBSCAN,,,0.001,2048,DTMC,,,240.5405319,0.7986964185,0,0.2841894596,0.1680020677,0.3076923077,DBSCAN_0_2048_DTMC_0_0
advglue++,DBSCAN,,,0.01,4,DTMC,,,13.66893005,0.7934593723,2.49E-80,0.2639537469,0.1845282089,0.2727272727,DBSCAN_0_4_DTMC_0_0
advglue++,DBSCAN,,,0.01,8,DTMC,,,18.57722712,0.7999454427,2.90E-44,0.191016233,0.1771092513,0,DBSCAN_0_8_DTMC_0_0
advglue++,DBSCAN,,,0.01,16,DTMC,,,14.45703673,0.7967410038,5.60E-124,0.2438292195,0.1759360233,0,DBSCAN_0_16_DTMC_0_0
advglue++,DBSCAN,,,0.01,32,DTMC,,,25.285743,0.8007528954,9.78E-146,0.2688458973,0.1667511404,0.04096989967,DBSCAN_0_32_DTMC_0_0
advglue++,DBSCAN,,,0.01,64,DTMC,,,31.50298023,0.8007703649,4.26E-210,0.2985323549,0.1624850657,0.05622188906,DBSCAN_0_64_DTMC_0_0
advglue++,DBSCAN,,,0.01,128,DTMC,,,32.73845172,0.8061556901,1.02E-289,0.2207026907,0.1682686603,0.2,DBSCAN_0_128_DTMC_0_0
advglue++,DBSCAN,,,0.01,256,DTMC,,,49.07533956,0.8008178103,0,0.3133199911,0.164728158,0.1538461538,DBSCAN_0_256_DTMC_0_0
advglue++,DBSCAN,,,0.01,512,DTMC,,,102.7711735,0.7997540287,0,0.3181009562,0.163187338,0.1909090909,DBSCAN_0_512_DTMC_0_0
advglue++,DBSCAN,,,0.01,1024,DTMC,,,168.6503758,0.8015084618,0,0.3094285079,0.1596536328,0.2222222222,DBSCAN_0_1024_DTMC_0_0
advglue++,DBSCAN,,,0.01,2048,DTMC,,,440.004214,0.7984332976,0,0.2178118746,0.1740049313,0.3333333333,DBSCAN_0_2048_DTMC_0_0
advglue++,DBSCAN,,,0.1,4,DTMC,,,24.24372339,0.7659725778,1.67E-106,0.3363353347,0.1835590207,0.2222222222,DBSCAN_0_4_DTMC_0_0
advglue++,DBSCAN,,,0.1,8,DTMC,,,19.56988168,0.7775497992,1.86E-127,0.1141872359,0.1902632381,0.3333333333,DBSCAN_0_8_DTMC_0_0
advglue++,DBSCAN,,,0.1,16,DTMC,,,19.24873948,0.7850398629,5.10E-200,0.1226373138,0.1835488877,0.3333333333,DBSCAN_0_16_DTMC_0_0
advglue++,DBSCAN,,,0.1,32,DTMC,,,28.64203501,0.7905112624,2.83E-201,0.1365354681,0.1821819714,0.3333333333,DBSCAN_0_32_DTMC_0_0
advglue++,DBSCAN,,,0.1,64,DTMC,,,21.69494343,0.7923791334,8.23E-260,0.149766511,0.1811757147,0.3333333333,DBSCAN_0_64_DTMC_0_0
advglue++,DBSCAN,,,0.1,128,DTMC,,,42.76437831,0.8164182539,1.60E-282,0.2443851457,0.1545160488,0.2792207792,DBSCAN_0_128_DTMC_0_0
advglue++,DBSCAN,,,0.1,256,DTMC,,,68.23434687,0.8056705589,0,0.2417167,0.164010787,0.26201373,DBSCAN_0_256_DTMC_0_0
advglue++,DBSCAN,,,0.1,512,DTMC,,,97.57029104,0.8021862153,0,0.2996442072,0.1613633338,0.2,DBSCAN_0_512_DTMC_0_0
advglue++,DBSCAN,,,0.1,1024,DTMC,,,158.513273,0.8036984584,0,0.3218812542,0.1549120133,0.2111111111,DBSCAN_0_1024_DTMC_0_0
advglue++,DBSCAN,,,0.1,2048,DTMC,,,286.1018856,0.7988756855,0,0.3321102958,0.1585656254,0.2222222222,DBSCAN_0_2048_DTMC_0_0
advglue++,DBSCAN,,,1,4,DTMC,,,11.25461221,0.6853222689,0,0.4010451412,0.2331672598,0.3301130054,DBSCAN_0_4_DTMC_0_0
advglue++,DBSCAN,,,1,8,DTMC,,,19.51674747,0.825768809,0,0.1514342895,0.1432420296,0.3333333333,DBSCAN_0_8_DTMC_0_0
advglue++,DBSCAN,,,1,16,DTMC,,,13.54927945,0.8028481971,6.07E-289,0.1235267956,0.1835318488,0.3333333333,DBSCAN_0_16_DTMC_0_0
advglue++,DBSCAN,,,1,32,DTMC,,,26.8123889,0.7983777542,5.81E-249,0.1382032466,0.1819525066,0.3333333333,DBSCAN_0_32_DTMC_0_0
advglue++,DBSCAN,,,1,64,DTMC,,,22.00406408,0.7908531759,2.66E-288,0.1538803647,0.1808396125,0.3333333333,DBSCAN_0_64_DTMC_0_0
advglue++,DBSCAN,,,1,128,DTMC,,,35.29714704,0.7929324122,0,0.1836780076,0.1763518061,0.3333333333,DBSCAN_0_128_DTMC_0_0
advglue++,DBSCAN,,,1,256,DTMC,,,68.08276272,0.7894763137,0,0.2122526129,0.1758753053,0.3333333333,DBSCAN_0_256_DTMC_0_0
advglue++,DBSCAN,,,1,512,DTMC,,,100.8447235,0.7883108821,0,0.2322659551,0.1735487732,0.3333333333,DBSCAN_0_512_DTMC_0_0
advglue++,DBSCAN,,,1,1024,DTMC,,,147.4852335,0.7847553867,0,0.2535023349,0.1745758544,0.3333333333,DBSCAN_0_1024_DTMC_0_0
advglue++,DBSCAN,,,1,2048,DTMC,,,282.7859182,0.7841951854,0,0.2717367134,0.1715153048,0.3333333333,DBSCAN_0_2048_DTMC_0_0
advglue++,DBSCAN,,,10,4,DTMC,,,13.44959283,0.5017258288,0.2117902622,0.5047809651,0.3453850676,0.6270351571,DBSCAN_0_4_DTMC_0_0
advglue++,DBSCAN,,,10,8,DTMC,,,14.38542771,0.5643078174,3.32E-07,0.4594173894,0.3008340523,0.4313611209,DBSCAN_0_8_DTMC_0_0
advglue++,DBSCAN,,,10,16,DTMC,,,12.3230629,0.5823193535,2.24E-111,0.4233933734,0.2949972811,0.5677019768,DBSCAN_0_16_DTMC_0_0
advglue++,DBSCAN,,,10,32,DTMC,,,14.54499078,0.605634908,1.07E-111,0.4714253947,0.2855425308,0.4933810204,DBSCAN_0_32_DTMC_0_0
advglue++,DBSCAN,,,10,64,DTMC,,,18.86799788,0.6114899193,0,0.4237269291,0.2745976207,0.5048116194,DBSCAN_0_64_DTMC_0_0
advglue++,DBSCAN,,,10,128,DTMC,,,25.11774135,0.6508671136,0,0.3880364688,0.2531886024,0.4734655816,DBSCAN_0_128_DTMC_0_0
advglue++,DBSCAN,,,10,256,DTMC,,,43.53988767,0.6947211183,0,0.3615743829,0.2288477035,0.4520191412,DBSCAN_0_256_DTMC_0_0
advglue++,DBSCAN,,,10,512,DTMC,,,47.61070251,0.7676494266,0,0.2477207027,0.1908634298,0.5569019873,DBSCAN_0_512_DTMC_0_0
advglue++,DBSCAN,,,10,1024,DTMC,,,90.60896635,0.7929629104,0,0.2361574383,0.1578818338,0.4896263216,DBSCAN_0_1024_DTMC_0_0
advglue++,DBSCAN,,,10,2048,DTMC,,,156.5554109,0.7997381918,0,0.228930398,0.1617309319,0.467611336,DBSCAN_0_2048_DTMC_0_0
advglue++,DBSCAN,,,100,4,DTMC,,,72.09926152,0.5,1,0.2536135201,0.4046119734,1,DBSCAN_0_4_DTMC_0_0
advglue++,DBSCAN,,,100,8,DTMC,,,88.13756323,0.5,1,0.2536135201,0.4046119734,1,DBSCAN_0_8_DTMC_0_0
advglue++,DBSCAN,,,100,16,DTMC,,,32.77046371,0.5,1,0.2536135201,0.4046119734,1,DBSCAN_0_16_DTMC_0_0
advglue++,DBSCAN,,,100,32,DTMC,,,27.83245277,0.5,1,0.2536135201,0.4046119734,1,DBSCAN_0_32_DTMC_0_0
advglue++,DBSCAN,,,100,64,DTMC,,,30.13303733,0.5,1,0.2536135201,0.4046119734,1,DBSCAN_0_64_DTMC_0_0
advglue++,DBSCAN,,,100,128,DTMC,,,38.00153303,0.5,1,0.2536135201,0.4046119734,1,DBSCAN_0_128_DTMC_0_0
advglue++,DBSCAN,,,100,256,DTMC,,,40.60065103,0.5,1,0.2536135201,0.4046119734,1,DBSCAN_0_256_DTMC_0_0
advglue++,DBSCAN,,,100,512,DTMC,,,53.82403231,0.5495444103,0.5001842571,0.541694463,0.3807091346,0.9999162643,DBSCAN_0_512_DTMC_0_0
advglue++,DBSCAN,,,100,1024,DTMC,,,66.43497968,0.5019096673,0.0001526611514,0.2541694463,0.4047914818,0.9973128438,DBSCAN_0_1024_DTMC_0_0
advglue++,DBSCAN,,,100,2048,DTMC,,,122.8388746,0.5591000612,4.53E-54,0.5263509006,0.3895098882,0.9731543624,DBSCAN_0_2048_DTMC_0_0
advglue++,OPTICS,,,1.00E-06,512,DTMC,,,116.8956697,0.5195167914,1.64E-16,0.4579719813,0.382050957,0.9907337877,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,1.00E-06,1024,DTMC,,,136.0063848,0.5268981848,6.45E-12,0.4506337558,0.340760507,0.9913678431,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,1.00E-06,2048,DTMC,,,252.5421355,0.5368464272,1.62E-11,0.532243718,0.3786737557,0.9894560812,OPTICS_0_2048_DTMC_0_0
advglue++,OPTICS,,,1.00E-05,512,DTMC,,,98.77074432,0.5267711958,2.22E-14,0.2536135201,0.4046119734,1,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,1.00E-05,1024,DTMC,,,173.5466673,0.5256510544,4.81E-12,0.2536135201,0.4046119734,1,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,1.00E-05,2048,DTMC,,,319.3049262,0.5272322288,2.94E-11,0.2536135201,0.4046119734,1,OPTICS_0_2048_DTMC_0_0
advglue++,OPTICS,,,0.0001,512,DTMC,,,102.3854046,0.5266238964,3.67E-14,0.2536135201,0.4046119734,1,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,0.0001,1024,DTMC,,,173.6755006,0.5250979716,1.26E-12,0.2536135201,0.4046119734,1,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,0.0001,2048,DTMC,,,327.0326104,0.5270134838,5.60E-11,0.2536135201,0.4046119734,1,OPTICS_0_2048_DTMC_0_0
advglue++,OPTICS,,,0.001,512,DTMC,,,97.63891578,0.526868862,3.19E-15,0.2536135201,0.4046119734,1,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,0.001,1024,DTMC,,,171.5634341,0.5247796991,9.45E-12,0.2536135201,0.4046119734,1,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,0.001,2048,DTMC,,,325.9307382,0.5273586626,1.21E-11,0.2536135201,0.4046119734,1,OPTICS_0_2048_DTMC_0_0
advglue++,OPTICS,,,0.01,512,DTMC,,,99.43139696,0.5266295781,3.55E-14,0.2536135201,0.4046119734,1,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,0.01,1024,DTMC,,,175.2756188,0.5252951326,2.05E-12,0.2536135201,0.4046119734,1,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,0.01,2048,DTMC,,,321.0495164,0.5273851445,3.59E-11,0.2536135201,0.4046119734,1,OPTICS_0_2048_DTMC_0_0
advglue++,OPTICS,,,0.1,512,DTMC,,,102.6892166,0.5405893856,5.81E-25,0.4336224149,0.343387471,0.9936432029,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,0.1,1024,DTMC,,,162.8716731,0.5032404229,6.13E-20,0.2609517456,0.4055093462,0.995626057,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,0.1,2048,DTMC,,,322.4867692,0.5335163054,2.87E-19,0.3386702246,0.3728384648,0.9959030734,OPTICS_0_2048_DTMC_0_0
advglue++,OPTICS,,,1.00E+00,512,DTMC,,,248.3161099,0.5159175079,2.05E-37,0.2695130087,0.3821703968,0.9852420049,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,1.00E+00,1024,DTMC,,,427.1223748,0.5063376935,6.28E-31,0.5105625973,0.3328281297,0.9864407768,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,1.00E+00,2048,DTMC,,,811.5329235,0.5455690579,2.67E-30,0.2652879698,0.3919764446,0.9862658191,OPTICS_0_2048_DTMC_0_0
advglue++,OPTICS,,,1.00E+01,512,DTMC,,,664.5283976,0.5318409587,1.21E-80,0.2840782744,0.4047332902,0.9376834167,OPTICS_0_512_DTMC_0_0
advglue++,OPTICS,,,1.00E+01,1024,DTMC,,,932.3873854,0.5213868176,7.43E-71,0.2569490772,0.4006815532,0.957727831,OPTICS_0_1024_DTMC_0_0
advglue++,OPTICS,,,1.00E+01,2048,DTMC,,,1373.056412,0.530796312,1.13E-81,0.503335557,0.3453026528,0.9672866418,OPTICS_0_2048_DTMC_0_0
